#Table1
bestObjID,ra,dec,z
0,181.57077,60.988176,6.726342
1237657612876710380,179.51483,58.182367,6.497554
1237655108913791286,180.07347,60.432879,6.497334
0,181.98567,60.326004,6.484123
1237658311866516140,181.31722,59.74629,6.419885
